英語名,日本語名,パワー,タフネス,レアリティ,タイプ,マナコスト,能力
　BaneofBalaGed,バーラ・ゲドを滅ぼすもの（ばーらげどをほろぼすもの）,　7,5,　アンコモン,　クリーチャー,　７,バーラ・ゲドを滅ぼすものが攻撃するたび、防御プレイヤーは自分がコントロールするパーマネントを２つ追放する。
　BlightHerder,荒廃を招くもの（こうはいをまねくもの）,　4,5,　レア,　クリーチャー,　５,あなたが荒廃を招くものを唱えたとき、あなたは追放領域からあなたの対戦相手がオーナーであるカードを２枚、それらのオーナーの墓地に置いてもよい。そうしたなら、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを３体戦場に出す。それらは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(◇)を加える。」を持つ。
　BreakerofArmies,軍団を破壊するもの（ぐんだんをはかいするもの）,　10,8,　アンコモン,　クリーチャー,　８,軍団を破壊するものをブロックできるすべてのクリーチャーは、これをブロックする。
　ConduitofRuin,破滅の伝導者（はめつのでんどうしゃ）,　5,5,　レア,　クリーチャー,　６,あなたが破滅の伝導者を唱えたとき、あなたはあなたのライブラリーから点数で見たマナ・コストが７以上の無色のクリーチャー・カードを１枚探してもよい。そうしたなら、それを公開し、その後あなたのライブラリーを切り直し、そのカードをライブラリーの一番上に置く。各ターン、あなたが最初に唱えるクリーチャー呪文を唱えるためのコストは(２)少なくなる。
　DeathlessBehemoth,不死のビヒモス（ふしのびひもす）,　6,6,　アンコモン,　クリーチャー,　６,警戒エルドラージ(Eldrazi)・末裔(Scion)を２体生け贄に捧げる：不死のビヒモスをあなたの墓地からあなたの手札に戻す。この能力は、あなたがソーサリーを唱えられるときにのみ起動できる。
　DesolationTwin,荒廃の双子（こうはいのふたご）,　10,10,　レア,　クリーチャー,　１０,あなたが荒廃の双子を唱えたとき、無色の10/10のエルドラージ(Eldrazi)・クリーチャー・トークンを１体戦場に出す。
　EldraziDevastator,エルドラージの壊滅させるもの（えるどらーじのかいめつさせるもの）,　8,9,　コモン,　クリーチャー,　８,トランプル
　EndlessOne,果てしなきもの（はてしなきもの）,　0,0,　レア,　クリーチャー,　Ｘ,果てしなきものは、+1/+1カウンターがＸ個置かれた状態で戦場に出る。
　GruesomeSlaughter,陰惨な殺戮（いんさんなさつりく）,　0,0,　レア,　ソーサリー,　６,ターン終了時まで、あなたがコントロールする無色のクリーチャーは「(Ｔ)：クリーチャー１体を対象とする。このクリーチャーはそれに、自身のパワーに等しい点数のダメージを与える。」を得る。
　Kozilek'sChanneler,コジレックの媒介者（こじれっくのばいかいしゃ）,　4,4,　コモン,　クリーチャー,　５,(Ｔ)：あなたのマナ・プールに(◇)(◇)を加える。
　OblivionSower,忘却蒔き（ぼうきゃくまき）,　5,8,　神話レア,　クリーチャー,　６,あなたが忘却蒔きを唱えたとき、対戦相手１人を対象とする。そのプレイヤーは自分のライブラリーの一番上から４枚のカードを追放する。その後、あなたは追放領域からそのプレイヤーがオーナーである土地カードを、望む枚数あなたのコントロール下で戦場に出してもよい。
　RuinProcessor,破滅の昇華者（はめつのしょうかしゃ）,　7,8,　コモン,　クリーチャー,　７,あなたが破滅の昇華者を唱えたとき、あなたは追放領域から対戦相手がオーナーであるカードを１枚そのプレイヤーの墓地に置いてもよい。そうしたなら、あなたは５点のライフを得る。
　ScourfromExistence,存在の一掃（そんざいのいっそう）,　7,8,　コモン,　インスタント,　７,パーマネント１つを対象とし、それを追放する。
　Titan'sPresence,タイタンの存在（たいたんのそんざい）,　7,8,　アンコモン,　インスタント,　３,タイタンの存在を唱えるための追加コストとして、あなたの手札から無色のクリーチャー・カードを１枚公開する。クリーチャー１体を対象とする。それのパワーが公開したカードのパワー以下なら、それを追放する。
　Ulamog theCeaselessHunger,絶え間ない飢餓、ウラモグ（たえまないきがうらもぐ）,　10,10,　神話レア,　伝説のクリーチャー,　１０,あなたが絶え間ない飢餓、ウラモグを唱えたとき、パーマネント２つを対象とし、それらを追放する。破壊不能絶え間ない飢餓、ウラモグが攻撃するたび、防御プレイヤーは自分のライブラリーの一番上から２０枚のカードを追放する。
　Ulamog'sDespoiler,ウラモグの強奪者（うらもぐのごうだつしゃ）,　5,5,　アンコモン,　クリーチャー,　６,ウラモグの強奪者が戦場に出るに際し、あなたは追放領域から対戦相手がオーナーであるカードを２枚、それらのオーナーの墓地に置いてもよい。そうしたなら、ウラモグの強奪者は+1/+1カウンターが４個置かれた状態で戦場に出る。
　VoidWinnower,虚空の選別者（こくうのせんべつしゃ）,　11,9,　神話レア,　クリーチャー,　９,あなたの対戦相手は点数で見たマナ・コストが偶数の呪文を唱えられない。（０は偶数である。）あなたの対戦相手は点数で見たマナ・コストが偶数のクリーチャーではブロックできない。
　AngelofRenewal,回生の天使（かいせいのてんし）,　4,4,　アンコモン,　クリーチャー,　５白,飛行回生の天使が戦場に出たとき、あなたはあなたがコントロールするクリーチャー１体につき１点のライフを得る。
　AngelicGift,天使の贈り物（てんしのおくりもの）,　4,4,　コモン,　エンチャント,　１白,エンチャント（クリーチャー）天使の贈り物が戦場に出たとき、カードを１枚引く。エンチャントされているクリーチャーは飛行を持つ。
　CliffsideLookout,絶壁の見張り（ぜっぺきのみはり）,　1,1,　コモン,　クリーチャー,　白,(４)(白)：ターン終了時まで、あなたがコントロールするクリーチャーは+1/+1の修整を受ける。
　CourierGriffin,グリフィンの急使（ぐりふぃんのきゅうし）,　2,3,　コモン,　クリーチャー,　３白,飛行グリフィンの急使が戦場に出たとき、あなたは２点のライフを得る。
　EmeriaShepherd,エメリアの番人（えめりあのばんにん）,　4,4,　レア,　クリーチャー,　５白白,飛行上陸―土地が１つあなたのコントロール下で戦場に出るたび、あなたの墓地から土地でないパーマネント・カード１枚を対象とする。あなたはそれをあなたの手札に戻してもよい。その土地が(Plain)であるなら、あなたはその土地でないパーマネント・カードを代わりに戦場に戻してもよい。
　EncirclingFissure,取り囲む地割れ（とりかこむじわれ）,　4,4,　アンコモン,　インスタント,　２白,対戦相手１人を対象とする。このターン、そのプレイヤーがコントロールするクリーチャーが与えるすべての戦闘ダメージを軽減する。覚醒２―(４)(白)（この呪文を(４)(白)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを２個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）
　ExpeditionEnvoy,探検隊の特使（たんけんたいのとくし）,　2,1,　アンコモン,　クリーチャー,　白,
　FelidarCub,フェリダーの仔（ふぇりだーのこ）,　2,2,　コモン,　クリーチャー,　１白,フェリダーの仔を生け贄に捧げる：エンチャント１つを対象とし、それを破壊する。
　FelidarSovereign,フェリダーの君主（ふぇりだーのくんしゅ）,　4,6,　レア,　クリーチャー,　４白白,警戒、絆魂あなたのアップキープの開始時に、あなたのライフが４０点以上である場合、あなたはこのゲームに勝利する。
　FortifiedRampart,城砦化した塁壁（じょうさいかしたるいへき）,　0,6,　コモン,　クリーチャー,　１白,防衛
　GhostlySentinel,幽霊の歩哨（ゆうれいのほしょう）,　3,3,　コモン,　クリーチャー,　４白,飛行、警戒
　Gideon AllyofZendikar,ゼンディカーの同盟者、ギデオン（ぜんでぃかーのどうめいしゃぎでおん）,　3,3,　神話レア,　プレインズウォーカー,　２白白,[+1]：ターン終了時まで、ゼンディカーの同盟者、ギデオンは破壊不能を持つ5/5の人間(Human)・兵士(Soldier)・同盟者(Ally)クリーチャーになる。これはプレインズウォーカーでもある。このターン、これに与えられるすべてのダメージを軽減する。[0]：白の2/2の騎士(Knight)・同盟者クリーチャー・トークンを１体戦場に出す。[-4]：あなたは「あなたがコントロールするクリーチャーは+1/+1の修整を受ける。」を持つ紋章を得る。　忠誠度：4
　Gideon'sReproach,ギデオンの叱責（ぎでおんのしっせき）,　3,3,　コモン,　インスタント,　１白,攻撃かブロックしているクリーチャー１体を対象とする。ギデオンの叱責はそれに４点のダメージを与える。
　HeroofGomaFada,ゴーマ・ファーダの英雄（ごーまふぁーだのえいゆう）,　4,3,　レア,　クリーチャー,　４白,結集―ゴーマ・ファーダの英雄か他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたがコントロールするクリーチャーは破壊不能を得る。
　InspiredCharge,鼓舞する突撃（こぶするとつげき）,　4,3,　コモン,　インスタント,　２白白,ターン終了時まで、あなたがコントロールするクリーチャーは+2/+1の修整を受ける。
　KitesailScout,帆凧の斥候（ほだこのせっこう）,　1,1,　コモン,　クリーチャー,　白,飛行
　KorBladewhirl,コーの刃振り（こーのやいばふり）,　2,2,　アンコモン,　クリーチャー,　１白,結集―コーの刃振りか他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたがコントロールするクリーチャーは先制攻撃を得る。
　KorCastigator,コーの懲罰者（こーのちょうばつしゃ）,　3,1,　コモン,　クリーチャー,　１白,コーの懲罰者はエルドラージ(Eldrazi)・末裔(Scion)によってはブロックされない。
　KorEntanglers,コーの絡め捕り（こーのからめとり）,　3,4,　アンコモン,　クリーチャー,　４白,結集―コーの絡め捕りか他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、対戦相手がコントロールするクリーチャー１体を対象とし、それをタップする。
　LanternScout,ランタンの斥候（らんたんのせっこう）,　3,2,　レア,　クリーチャー,　２白,結集―ランタンの斥候か他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたがコントロールするクリーチャーは絆魂を得る。
　Lithomancer'sFocus,石術師の焦点（せきじゅつしのしょうてん）,　3,2,　コモン,　インスタント,　白,クリーチャー１体を対象とする。ターン終了時まで、それは+2/+2の修整を受ける。このターン、無色の発生源からそのクリーチャーに与えられるすべてのダメージを軽減する。
　MakindiPatrol,マキンディの巡回兵（まきんでぃのじゅんかいへい）,　2,3,　コモン,　クリーチャー,　２白,結集―マキンディの巡回兵か他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたがコントロールするクリーチャーは警戒を得る。
　OnduGreathorn,オンドゥの大角（おんどぅのおおづの）,　2,3,　コモン,　クリーチャー,　３白,先制攻撃上陸―土地が１つあなたのコントロール下で戦場に出るたび、ターン終了時まで、オンドゥの大角は+2/+2の修整を受ける。
　OnduRising,オンドゥの蜂起（おんどぅのほうき）,　2,3,　アンコモン,　ソーサリー,　１白,このターン、クリーチャーが１体攻撃するたび、ターン終了時まで、それは絆魂を得る。覚醒４―(４)(白)（この呪文を(４)(白)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを４個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）
　PlanarOutburst,次元の激高（じげんのげきこう）,　2,3,　レア,　ソーサリー,　３白白,すべての土地でないクリーチャーを破壊する。覚醒４―(５)(白)(白)(白)（この呪文を(５)(白)(白)(白)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを４個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）
　QuarantineField,隔離の場（かくりのば）,　2,3,　神話レア,　エンチャント,　ＸＸ白白,隔離の場は、(isolation)・カウンターがＸ個置かれた状態で戦場に出る。隔離の場が戦場に出たとき、これの上に置かれている・カウンター１個につき、対戦相手がコントロールする土地でないパーマネントを最大１つ対象とし、隔離の場が戦場を離れるまでそれらを追放する。
　RetreattoEmeria,エメリアへの撤退（えめりあへのてったい）,　2,3,　アンコモン,　エンチャント,　３白,上陸―土地が１つあなたのコントロール下で戦場に出るたび、以下から１つを選ぶ。・白の1/1のコー(Kor)・同盟者(Ally)クリーチャー・トークンを１体戦場に出す。・ターン終了時まで、あなたがコントロールするクリーチャーは+1/+1の修整を受ける。
　Roil'sRetribution,乱動の報復（らんどうのほうふく）,　2,3,　アンコモン,　インスタント,　３白白,攻撃かブロックしているクリーチャーを望む数対象とする。乱動の報復はそれらに、５点のダメージをあなたの望むように分割して与える。
　SereneSteward,物静かな使用人（ものしずかなしようにん）,　2,2,　アンコモン,　クリーチャー,　１白,あなたがライフを得るたび、クリーチャー１体を対象とする。あなたは(白)を支払ってもよい。そうしたなら、それの上に+1/+1カウンターを１個置く。
　ShadowGlider,影の滑空者（かげのかっくうしゃ）,　2,2,　コモン,　クリーチャー,　２白,飛行
　SheerDrop,真っ逆さま（まっさかさま）,　2,2,　コモン,　ソーサリー,　２白,タップ状態のクリーチャー１体を対象とし、それを破壊する。覚醒３―(５)(白)（この呪文を(５)(白)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを３個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）
　SmitetheMonstrous,大物潰し（おおものつぶし）,　2,2,　コモン,　インスタント,　３白,パワーが４以上のクリーチャー１体を対象とし、それを破壊する。
　StasisSnare,停滞の罠（ていたいのわな）,　2,2,　アンコモン,　エンチャント,　１白白,瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）停滞の罠が戦場に出たとき、対戦相手がコントロールするクリーチャー１体を対象とし、停滞の罠が戦場を離れるまでそれを追放する。（そのクリーチャーはオーナーのコントロール下で戦場に戻る。）
　StoneHavenMedic,岩屋の衛生兵（いわやのえいせいへい）,　1,3,　コモン,　クリーチャー,　１白,(白) (Ｔ)：あなたは１点のライフを得る。
　TandemTactics,二人戦術（ににんせんじゅつ）,　1,3,　コモン,　インスタント,　１白,クリーチャーを最大２体対象とする。ターン終了時まで、それらはそれぞれ+1/+2の修整を受ける。あなたは２点のライフを得る。
　UnifiedFront,統一戦線（とういつせんせん）,　1,3,　アンコモン,　ソーサリー,　３白,収斂―統一戦線を唱えるために支払われたマナの色１色につき、白の1/1のコー(Kor)・同盟者(Ally)クリーチャー・トークンを１体戦場に出す。
　AdverseConditions,逆境（ぎゃっきょう）,　1,3,　アンコモン,　インスタント,　３青,欠色（このカードは無色である。）クリーチャーを最大２体対象とし、それらをタップする。それらのクリーチャーは、それらのコントローラーの次のアンタップ・ステップにアンタップしない。無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(◇)を加える。」を持つ。
　BenthicInfiltrator,水底の潜入者（みずそこのせんにゅうしゃ）,　1,4,　コモン,　クリーチャー,　２青,欠色（このカードは無色である。）嚥下（このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。）水底の潜入者はブロックされない。
　CrypticCruiser,謎めいた巡行者（なぞめいたじゅんこうしゃ）,　3,3,　アンコモン,　クリーチャー,　３青,欠色（このカードは無色である。）(２)(青) 追放領域から対戦相手がオーナーであるカードを１枚そのプレイヤーの墓地に置く：クリーチャー１体を対象とし、それをタップする。
　DrownerofHope,希望を溺れさせるもの（きぼうをおぼれさせるもの）,　5,5,　レア,　クリーチャー,　５青,欠色（このカードは無色である。）希望を溺れさせるものが戦場に出たとき、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを２体戦場に出す。それらは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(◇)を加える。」を持つ。エルドラージ・末裔を１体生け贄に捧げる：クリーチャー１体を対象とし、それをタップする。
　EldraziSkyspawner,空中生成エルドラージ（くうちゅうせいせいえるどらーじ）,　2,1,　コモン,　クリーチャー,　２青,欠色（このカードは無色である。）飛行空中生成エルドラージが戦場に出たとき、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(◇)を加える。」を持つ。
