英語名,日本語名,パワー,タフネス,レアリティ,タイプ,マナコスト,能力
　ScionofUgin,ウギンの末裔（うぎんのまつえい）,　4,4,　アンコモン,　クリーチャー,　６,飛行
　Anafenza Kin-TreeSpirit,族樹の精霊、アナフェンザ（ぞくじゅのせいれいあなふぇんざ）,　2,2,　レア,　伝説のクリーチャー,　白白,他のトークンでないクリーチャーが１体、あなたのコントロール下で戦場に出るたび、鼓舞１を行う。（あなたがコントロールするクリーチャーの中で最も小さいタフネスを持つクリーチャーを１体選び、それの上に+1/+1カウンターを１個置く。）
　ArashinForemost,アラシンの先頭に立つ者（あらしんのせんとうにたつもの）,　2,2,　レア,　クリーチャー,　１白白,二段攻撃アラシンの先頭に立つ者が戦場に出るか攻撃するたび、あなたがコントロールする他の戦士(Warrior)クリーチャー１体を対象とする。ターン終了時まで、それは二段攻撃を得る。
　ArtfulManeuver,巧みな機動（たくみなきどう）,　2,2,　コモン,　インスタント,　１白,クリーチャー１体を対象とする。ターン終了時まで、それは+2/+2の修整を受ける。反復（この呪文があなたの手札から唱えられたなら、これの解決に際し、これを追放する。あなたの次のアップキープの開始時に、あなたはこのカードを追放領域からこれのマナ・コストを支払うことなく唱えてもよい。）
　AvenSunstriker,エイヴンの陽光弾手（えいう゛んのようこうだんしゅ）,　1,1,　アンコモン,　クリーチャー,　１白白,飛行二段攻撃（このクリーチャーは先制攻撃と通常の戦闘ダメージの両方を与える。）大変異(４)(白)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）
　AvenTactician,エイヴンの戦術家（えいう゛んのせんじゅつか）,　2,3,　コモン,　クリーチャー,　４白,飛行エイヴンの戦術家が戦場に出たとき、鼓舞１を行う。（あなたがコントロールするクリーチャーの中で最も小さいタフネスを持つクリーチャーを１体選び、それの上に+1/+1カウンターを１個置く。）
　BattleMastery,熟達した戦い（じゅくたつしたたたかい）,　2,3,　アンコモン,　エンチャント,　２白,エンチャント（クリーチャー）エンチャントされているクリーチャーは二段攻撃を持つ。（それは先制攻撃の戦闘ダメージと通常の戦闘ダメージの両方を与える。）
　CenterSoul,魂の基点（たましいのきてん）,　2,3,　コモン,　インスタント,　１白,あなたがコントロールするクリーチャー１体を対象とする。色を１色選ぶ。ターン終了時まで、それはプロテクション（その選ばれた色）を得る。反復（この呪文があなたの手札から唱えられたなら、これの解決に際し、これを追放する。あなたの次のアップキープの開始時に、あなたはこのカードを追放領域からこれのマナ・コストを支払うことなく唱えてもよい。）
　ChampionofArashin,アラシンの勇者（あらしんのゆうしゃ）,　3,2,　コモン,　クリーチャー,　３白,絆魂（このクリーチャーがダメージを与えると、さらにあなたはその点数分のライフを得る。）
　DragonHunter,ドラゴンを狩る者（どらごんをかるもの）,　2,1,　アンコモン,　クリーチャー,　白,プロテクション（ドラゴン(Dragon)）ドラゴンを狩る者は、それが到達を持っているかのようにドラゴンをブロックできる。
　Dragon'sEyeSentry,龍の眼の歩哨（りゅうのめのほしょう）,　1,3,　コモン,　クリーチャー,　白,防衛、先制攻撃
　DromokaCaptain,ドロモカの隊長（どろもかのたいちょう）,　1,1,　アンコモン,　クリーチャー,　２白,先制攻撃ドロモカの隊長が攻撃するたび、鼓舞１を行う。（あなたがコントロールするクリーチャーの中で最も小さいタフネスを持つクリーチャーを１体選び、それの上に+1/+1カウンターを１個置く。）
　DromokaDunecaster,ドロモカの砂丘唱え（どろもかのさきゅうとなえ）,　0,2,　コモン,　クリーチャー,　白,(１)(白) (Ｔ)：飛行を持たないクリーチャー１体を対象とし、それをタップする。
　DromokaWarrior,ドロモカの戦士（どろもかのせんし）,　3,1,　コモン,　クリーチャー,　１白,
　EchoesoftheKinTree,族樹の残響（ぞくじゅのざんきょう）,　3,1,　アンコモン,　エンチャント,　１白,(２)(白)：鼓舞１を行う。（あなたがコントロールするクリーチャーの中で最も小さいタフネスを持つクリーチャーを１体選び、それの上に+1/+1カウンターを１個置く。）
　EnduringVictory,不朽の勝利（ふきゅうのしょうり）,　3,1,　コモン,　インスタント,　４白,攻撃かブロックしているクリーチャー１体を対象とし、それを破壊する。鼓舞１を行う。（あなたがコントロールするクリーチャーの中で最も小さいタフネスを持つクリーチャーを１体選び、それの上に+1/+1カウンターを１個置く。）
　FateForgotten,忘れられた運命（わすれられたうんめい）,　3,1,　コモン,　インスタント,　２白,アーティファクト１つかエンチャント１つを対象とし、それを追放する。
　GlaringAegis,まばゆい神盾（まばゆいしんじゅん）,　3,1,　コモン,　エンチャント,　白,エンチャント（クリーチャー）まばゆい神盾が戦場に出たとき、対戦相手がコントロールするクリーチャー１体を対象とし、それをタップする。エンチャントされているクリーチャーは+1/+3の修整を受ける。
　GleamofAuthority,権威の微光（けんいのびこう）,　3,1,　レア,　エンチャント,　１白,エンチャント（クリーチャー）エンチャントされているクリーチャーは、あなたがコントロールする他のクリーチャーの上に置かれている+1/+1カウンター１個につき+1/+1の修整を受ける。エンチャントされているクリーチャーは警戒を持つとともに「(白) (Ｔ)：鼓舞１を行う。」を持つ。（鼓舞１を行うには、あなたがコントロールするクリーチャーの中で最も小さいタフネスを持つクリーチャーを１体選び、それの上に+1/+1カウンターを１個置く。）
　GracebladeArtisan,雅刃の職工（みやびやいばのしょっこう）,　2,3,　アンコモン,　クリーチャー,　２白,雅刃の職工は、これにつけられているオーラ(Aura)１つにつき+2/+2の修整を受ける。
　GreatTeacher'sDecree,偉大なる師の指令（いだいなるしのしれい）,　2,3,　アンコモン,　ソーサリー,　３白,ターン終了時まで、あなたがコントロールするクリーチャーは+2/+1の修整を受ける。反復（この呪文があなたの手札から唱えられたなら、これの解決に際し、これを追放する。あなたの次のアップキープの開始時に、あなたはこのカードを追放領域からこれのマナ・コストを支払うことなく唱えてもよい。）
　HeraldofDromoka,ドロモカの伝令（どろもかのでんれい）,　2,2,　コモン,　クリーチャー,　１白,警戒あなたがコントロールする他の戦士(Warrior)クリーチャーは警戒を持つ。
　HiddenDragonslayer,隠れたる龍殺し（かくれたるりゅうごろし）,　2,1,　レア,　クリーチャー,　１白,絆魂大変異(２)(白)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）隠れたる龍殺しが表向きになったとき、対戦相手がコントロールするパワーが４以上のクリーチャー１体を対象とし、それを破壊する。
　Lightwalker,光歩き（ひかりあるき）,　2,1,　コモン,　クリーチャー,　１白,光歩きは、その上に+1/+1カウンターが置かれているかぎり飛行を持つ。
　MisthoofKirin,霧蹄の麒麟（むていのきりん）,　2,1,　コモン,　クリーチャー,　２白,飛行、警戒大変異(１)(白)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）
　MythRealized,神話実現（しんわじつげん）,　2,1,　レア,　エンチャント,　白,あなたがクリーチャーでない呪文を１つ唱えるたび、神話実現の上に伝承(lore)カウンターを１個置く。(２)(白)：神話実現の上に伝承カウンターを１個置く。(白)：ターン終了時まで、神話実現は他のタイプに加えてモンク(Monk)・アバター(Avatar)・クリーチャーになり、「このクリーチャーのパワーとタフネスは、それぞれこの上に置かれている伝承カウンターの総数に等しい。」を得る。
　OjutaiExemplars,オジュタイの模範（おじゅたいのもはん）,　4,4,　神話レア,　クリーチャー,　２白白,あなたがクリーチャーでない呪文を１つ唱えるたび、以下から１つを選ぶ。・クリーチャー１体を対象とし、それをタップする。・ターン終了時まで、オジュタイの模範は先制攻撃と絆魂を得る。・オジュタイの模範を追放し、その後これをオーナーのコントロール下でタップ状態で戦場に戻す。
　OratorofOjutai,オジュタイの語り部（おじゅたいのかたりべ）,　0,4,　アンコモン,　クリーチャー,　１白,オジュタイの語り部を唱えるための追加コストとして、あなたの手札にあるドラゴン(Dragon)・カードを１枚公開してもよい。防衛、飛行オジュタイの語り部が戦場に出たとき、あなたがオジュタイの語り部を唱えた時点でドラゴン・カードを公開したかドラゴンをコントロールしていた場合、カードを１枚引く。
　Pacifism,平和な心（へいわなこころ）,　0,4,　コモン,　エンチャント,　１白,エンチャント（クリーチャー）エンチャントされているクリーチャーでは攻撃したりブロックしたりできない。
