英語名,日本語名,パワー,タフネス,レアリティ,タイプ,マナコスト,能力
　AbundantMaw,甚だしい大口（はなはだしいおおぐち）,　6,4,　アンコモン,　クリーチャー,　８,現出(６)(黒)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが甚だしい大口を唱えたとき、対戦相手１人を対象とする。そのプレイヤーは３点のライフを失い、あなたは３点のライフを得る。
　DecimatoroftheProvinces,州民を滅ぼすもの（しゅうみんをほろぼすもの）,　7,7,　神話レア,　クリーチャー,　１０,現出(６)(緑)(緑)(緑)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが州民を滅ぼすものを唱えたとき、ターン終了時まで、あなたがコントロールするクリーチャーは+2/+2の修整を受けるとともにトランプルを得る。トランプル、速攻
　DistendedMindbender,膨らんだ意識曲げ（ふくらんだいしきまげ）,　5,5,　レア,　クリーチャー,　８,現出(５)(黒)(黒)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが膨らんだ意識曲げを唱えたとき、対戦相手１人を対象とする。そのプレイヤーは自分の手札を公開する。あなたはその中から、点数で見たマナ・コストが３以下の土地でないカード１枚と、点数で見たマナ・コストが４以上のカード１枚を選ぶ。そのプレイヤーはそれらのカードを捨てる。
　DrownyardBehemoth,溺墓のビヒモス（できぼのびひもす）,　5,7,　アンコモン,　クリーチャー,　９,瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）現出(７)(青)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）溺墓のビヒモスは、これがこのターンに戦場に出たのであるかぎり、呪禁を持つ。
　ElderDeep-Fiend,老いたる深海鬼（おいたるしんかいき）,　5,6,　レア,　クリーチャー,　８,瞬速現出(５)(青)(青)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが老いたる深海鬼を唱えたとき、パーマネント最大４つを対象とし、それらをタップする。
　Emrakul thePromisedEnd,約束された終末、エムラクール（やくそくされたしゅうまつえむらくーる）,　13,13,　神話レア,　伝説のクリーチャー,　１３,約束された終末、エムラクールを唱えるためのコストは、あなたの墓地にあるカードに含まれるカード・タイプ１種類につき(１)少なくなる。あなたが約束された終末、エムラクールを唱えたとき、対戦相手１人を対象とする。そのプレイヤーの次のターンの間、あなたはそのプレイヤーのコントロールを得る。そのターンに続いて、そのプレイヤーは追加の１ターンを得る。飛行、トランプル、プロテクション（インスタント）
　EternalScourge,永遠の災い魔（えいえんのわざわいま）,　3,3,　レア,　クリーチャー,　３,あなたは追放領域から永遠の災い魔を唱えてもよい。永遠の災い魔が対戦相手がコントロールする呪文や能力の対象になったとき、永遠の災い魔を追放する。
　ItoftheHorridSwarm,忌まわしい群れの存在（いまわしいむれのそんざい）,　4,4,　コモン,　クリーチャー,　８,現出(６)(緑)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが忌まわしい群れの存在を唱えたとき、緑の1/1の昆虫(Insect)クリーチャー・トークンを２体戦場に出す。
　LashweedLurker,絡み草の闇潜み（からみぐさのやみひそみ）,　5,4,　アンコモン,　クリーチャー,　８,現出(５)(緑)(青)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが絡み草の闇潜みを唱えたとき、土地でないパーマネント１つを対象とする。あなたはそれをオーナーのライブラリーの一番上に置いてもよい。
　MockeryofNature,自然もどき（しぜんもどき）,　6,5,　アンコモン,　クリーチャー,　９,現出(７)(緑)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが自然もどきを唱えたとき、アーティファクト１つかエンチャント１つを対象とする。あなたはそれを破壊してもよい。
