英語名,日本語名,パワー,タフネス,レアリティ,タイプ,マナコスト,能力
　DeceiverofForm,姿を欺くもの（すがたをあざむくもの）,　8,8,　レア,　クリーチャー,　６◇,（(◇)は無色マナを表す。）あなたのターンの戦闘の開始時に、あなたのライブラリーの一番上のカードを公開する。これによりクリーチャー・カードが公開されたなら、あなたは「ターン終了時まで、あなたがコントロールする姿を欺くもの以外のクリーチャーはそのカードのコピーになる」ことを選んでもよい。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。
　EldraziMimic,エルドラージのミミック（えるどらーじのみみっく）,　2,1,　レア,　クリーチャー,　２,他の無色のクリーチャーが１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたはエルドラージのミミックの基本のパワーとタフネスをそのクリーチャーのパワーとタフネスに変更してもよい。
　Endbringer,終末を招くもの（しゅうまつをまねくもの）,　5,5,　レア,　クリーチャー,　５◇,他の各プレイヤーのアンタップ・ステップに、終末を招くものをアンタップする。(Ｔ)：クリーチャー１体かプレイヤー１人を対象とする。終末を招くものはそれに１点のダメージを与える。(◇) (Ｔ)：クリーチャー１体を対象とする。このターン、それでは攻撃したりブロックしたりできない。(◇)(◇) (Ｔ)：カードを１枚引く。
　Kozilek theGreatDistortion,大いなる歪み、コジレック（おおいなるゆがみこじれっく）,　12,12,　神話レア,　伝説のクリーチャー,　８◇◇,あなたが大いなる歪み、コジレックを唱えたとき、あなたの手札にあるカードの枚数が７枚未満である場合、その差に等しい枚数のカードを引く。威迫点数で見たマナ・コストがＸであるカードを１枚捨てる：点数で見たマナ・コストがＸである呪文１つを対象とし、それを打ち消す。
　Kozilek'sPathfinder,コジレックの先駆者（こじれっくのせんくしゃ）,　5,5,　コモン,　クリーチャー,　６,(◇)：クリーチャー１体を対象とする。このターン、それではコジレックの先駆者をブロックできない。（(◇)は無色マナを表す。）
　MatterReshaper,作り変えるもの（つくりかえるもの）,　3,2,　レア,　クリーチャー,　２◇,（(◇)は無色マナを表す。）作り変えるものが死亡したとき、あなたのライブラリーの一番上のカードを公開する。それが、点数で見たマナ・コストが３以下のパーマネント・カードであるなら、あなたはそのカードを戦場に出してもよい。そうでないなら、そのカードをあなたの手札に加える。
　RealitySmasher,現実を砕くもの（げんじつをくだくもの）,　5,5,　レア,　クリーチャー,　４◇,（(◇)は無色マナを表す。）トランプル、速攻現実を砕くものが対戦相手がコントロールする呪文１つの対象となるたび、その呪文のコントローラーがカードを１枚捨てないかぎり、それを打ち消す。
　SpatialContortion,次元の歪曲（じげんのわいきょく）,　5,5,　アンコモン,　インスタント,　１◇,（(◇)は無色マナを表す。）クリーチャー１体を対象とする。ターン終了時まで、それは+3/-3の修整を受ける。
　Thought-KnotSeer,難題の予見者（なんだいよけんしゃ）,　4,4,　レア,　クリーチャー,　３◇,（(◇)は無色マナを表す。）難題の予見者が戦場に出たとき、対戦相手１人を対象とする。そのプレイヤーは、自分の手札を公開する。あなたはその中から土地でないカードを１枚選び、そのカードを追放する。難題の予見者が戦場を離れたとき、対戦相手１人を対象とする。そのプレイヤーはカードを１枚引く。
　WalkeroftheWastes,荒地を歩くもの（あれちをあるくもの）,　4,4,　アンコモン,　クリーチャー,　４◇,（(◇)は無色マナを表す。）トランプル荒地を歩くものは、あなたがコントロールする《荒地/Wastes》という名前の土地１つにつき+1/+1の修整を受ける。
　WardenofGeometries,形状の管理人（けいじょうのかんりにん）,　2,3,　コモン,　クリーチャー,　４,警戒(Ｔ)：あなたのマナ・プールに(◇)を加える。（(◇)は無色マナを表す。）
　WarpingWail,歪める嘆き（ゆがめるなげき）,　2,3,　アンコモン,　インスタント,　１◇,（(◇)は無色マナを表す。）以下から１つを選ぶ。・パワーかタフネスが１以下のクリーチャー１体を対象とし、それを追放する。・ソーサリー呪文１つを対象とし、それを打ち消す。・無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(◇)を加える。」を持つ。
　EldraziDisplacer,変位エルドラージ（へんいえるどらーじ）,　3,3,　レア,　クリーチャー,　２白,欠色（このカードは無色である。）(２)(◇)：他のクリーチャー１体を対象とし、それを追放し、その後それをオーナーのコントロール下でタップ状態で戦場に戻す。（(◇)は無色マナを表す。）
　AffaProtector,アーファの守護者（あーふぁのしゅごしゃ）,　1,4,　コモン,　クリーチャー,　２白,警戒
