英語名,日本語名,パワー,タフネス,レアリティ,タイプ,マナコスト,能力
　AkroanJailer,アクロスの看守（あくろすのかんしゅ）,　1,1,　コモン,　クリーチャー,　白,(２)(白) (Ｔ)：クリーチャー１体を対象とし、それをタップする。
　AmprynTactician,アンプリンの戦術家（あんぷりんのせんじゅつか）,　3,3,　コモン,　クリーチャー,　２白白,アンプリンの戦術家が戦場に出たとき、ターン終了時まで、あなたがコントロールするクリーチャーは+1/+1の修整を受ける。
　AnointerofChampions,勇者の選定師（ゆうしゃのせんていし）,　1,1,　アンコモン,　クリーチャー,　白,(Ｔ)：攻撃クリーチャー１体を対象とする。ターン終了時まで、それは+1/+1の修整を受ける。
　ArchangelofTithes,徴税の大天使（ちょうぜいのだいてんし）,　3,5,　神話レア,　クリーチャー,　１白白白,飛行徴税の大天使がアンタップ状態であるかぎり、クリーチャー１体につき、それのコントローラーが(１)を支払わないかぎり、それではあなたやあなたがコントロールするプレインズウォーカーを攻撃できない。徴税の大天使が攻撃しているかぎり、クリーチャー１体につき、それのコントローラーが(１)を支払わないかぎり、それではブロックできない。
　Auramancer,オーラ術師（おーらじゅつし）,　2,2,　コモン,　クリーチャー,　２白,オーラ術師が戦場に出たとき、あなたの墓地にあるエンチャント・カード１枚を対象とする。あなたは、それをあなたの手札に戻してもよい。
　AvenBattlePriest,エイヴンの戦僧侶（えいう゛んのいくさそうりょ）,　3,3,　コモン,　クリーチャー,　５白,飛行（このクリーチャーは飛行や到達を持たないクリーチャーによってはブロックされない。）エイヴンの戦僧侶が戦場に出たとき、あなたは３点のライフを得る。
　BlessedSpirits,祝福された霊魂（しゅくふくされたれいこん）,　2,2,　アンコモン,　クリーチャー,　２白,飛行あなたがエンチャント呪文を１つ唱えるたび、祝福された霊魂の上に+1/+1カウンターを１個置く。
　CelestialFlare,天界のほとばしり（てんかいのほとばしり）,　2,2,　コモン,　インスタント,　白白,プレイヤー１人を対象とする。そのプレイヤーは攻撃かブロックしているクリーチャーを１体生け贄に捧げる。
　ChargingGriffin,突進するグリフィン（とっしんするぐりふぃん）,　2,2,　コモン,　クリーチャー,　３白,飛行（このクリーチャーは飛行や到達を持たないクリーチャーによってはブロックされない。）突進するグリフィンが攻撃するたび、ターン終了時まで、それは+1/+1の修整を受ける。
　ClericoftheForwardOrder,前線の僧侶（ぜんせんのそうりょ）,　2,2,　コモン,　クリーチャー,　１白,前線の僧侶が戦場に出たとき、あなたはあなたがコントロールしている《前線の僧侶/ClericoftheForwardOrder》という名前のクリーチャー１体につき２点のライフを得る。
　Consul'sLieutenant,領事補佐官（りょうじほさかん）,　2,1,　アンコモン,　クリーチャー,　白白,先制攻撃高名１（このクリーチャーがプレイヤー１人に戦闘ダメージを与えたとき、これが高名でない場合、これの上に+1/+1カウンターを１個置く。これは高名になる。）領事補佐官が攻撃するたび、これが高名である場合、ターン終了時まで、あなたがコントロールする他の攻撃クリーチャーは+1/+1の修整を受ける。
　EnlightenedAscetic,悟った苦行者（さとったくぎょうしゃ）,　1,1,　コモン,　クリーチャー,　１白,悟った苦行者が戦場に出たとき、エンチャント１つを対象とする。あなたはそれを破壊してもよい。
　EnshroudingMist,包み込む霧（つつみこむきり）,　1,1,　コモン,　インスタント,　白,クリーチャー１体を対象とする。ターン終了時まで、それは+1/+1の修整を受ける。このターン、それに与えられるすべてのダメージを軽減する。それが高名であるなら、それをアンタップする。
