セット,英語名,日本語名,パワー,タフネス,レアリティ,タイプ,マナコスト,能力
　DragonsofTarkir,　ScionofUgin,ウギンの末裔（うぎんのまつえい）,　4,4,　アンコモン,　クリーチャー,　６,飛行
　DragonsofTarkir,　Anafenza Kin-TreeSpirit,族樹の精霊、アナフェンザ（ぞくじゅのせいれいあなふぇんざ）,　2,2,　レア,　伝説のクリーチャー,　白白,他のトークンでないクリーチャーが１体、あなたのコントロール下で戦場に出るたび、鼓舞１を行う。（あなたがコントロールするクリーチャーの中で最も小さいタフネスを持つクリーチャーを１体選び、それの上に+1/+1カウンターを１個置く。）
　DragonsofTarkir,　ArashinForemost,アラシンの先頭に立つ者（あらしんのせんとうにたつもの）,　2,2,　レア,　クリーチャー,　１白白,二段攻撃アラシンの先頭に立つ者が戦場に出るか攻撃するたび、あなたがコントロールする他の戦士(Warrior)クリーチャー１体を対象とする。ターン終了時まで、それは二段攻撃を得る。
　DragonsofTarkir,　ArtfulManeuver,巧みな機動（たくみなきどう）,　2,2,　コモン,　インスタント,　１白,クリーチャー１体を対象とする。ターン終了時まで、それは+2/+2の修整を受ける。反復（この呪文があなたの手札から唱えられたなら、これの解決に際し、これを追放する。あなたの次のアップキープの開始時に、あなたはこのカードを追放領域からこれのマナ・コストを支払うことなく唱えてもよい。）
　DragonsofTarkir,　AvenSunstriker,エイヴンの陽光弾手（えいう゛んのようこうだんしゅ）,　1,1,　アンコモン,　クリーチャー,　１白白,飛行二段攻撃（このクリーチャーは先制攻撃と通常の戦闘ダメージの両方を与える。）大変異(４)(白)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）
　DragonsofTarkir,　AvenTactician,エイヴンの戦術家（えいう゛んのせんじゅつか）,　2,3,　コモン,　クリーチャー,　４白,飛行エイヴンの戦術家が戦場に出たとき、鼓舞１を行う。（あなたがコントロールするクリーチャーの中で最も小さいタフネスを持つクリーチャーを１体選び、それの上に+1/+1カウンターを１個置く。）
　DragonsofTarkir,　BattleMastery,熟達した戦い（じゅくたつしたたたかい）,　2,3,　アンコモン,　エンチャント,　２白,エンチャント（クリーチャー）エンチャントされているクリーチャーは二段攻撃を持つ。（それは先制攻撃の戦闘ダメージと通常の戦闘ダメージの両方を与える。）
　DragonsofTarkir,　CenterSoul,魂の基点（たましいのきてん）,　2,3,　コモン,　インスタント,　１白,あなたがコントロールするクリーチャー１体を対象とする。色を１色選ぶ。ターン終了時まで、それはプロテクション（その選ばれた色）を得る。反復（この呪文があなたの手札から唱えられたなら、これの解決に際し、これを追放する。あなたの次のアップキープの開始時に、あなたはこのカードを追放領域からこれのマナ・コストを支払うことなく唱えてもよい。）
　DragonsofTarkir,　ChampionofArashin,アラシンの勇者（あらしんのゆうしゃ）,　3,2,　コモン,　クリーチャー,　３白,絆魂（このクリーチャーがダメージを与えると、さらにあなたはその点数分のライフを得る。）
　DragonsofTarkir,　DragonHunter,ドラゴンを狩る者（どらごんをかるもの）,　2,1,　アンコモン,　クリーチャー,　白,プロテクション（ドラゴン(Dragon)）ドラゴンを狩る者は、それが到達を持っているかのようにドラゴンをブロックできる。
　DragonsofTarkir,　Dragon'sEyeSentry,龍の眼の歩哨（りゅうのめのほしょう）,　1,3,　コモン,　クリーチャー,　白,防衛、先制攻撃
